Data,Judet,UAT,Metoda de interventie,Sex,Detalii referitoare la eveniment,Echipa de interventie,FC,Judet_relocare,lat,long,event_type,status_log,Nr_raport,Nr_identificare
,Argeș,RUCĂR,Împușcare,Mascul,"Un exemplar de urs a revenit dupa alungare, la o proprietate unde omorase doua suine, si incerca sa patrunda din nou in grajd. Exemplarul a fost impuscat in intravilanul localitatii Rucar, a marcat focul, dar nu a murit pe loc si a fugit in extravilan. Ulterior gestionarul fondului cinegetic a intreprins actiuni de cautare, dar ursul nu a mai fost gasit.","Jandarmerie, Primarie, Fond cinegetic",RUCAR 22,,45.407411,25.144779,impuscare,swapped,1500922,
,Argeș,RUCĂR,Alungat,Mascul,Un urs de talie mare a fost vazut in gspodaria aflata in intravilan. Jandarmeria a folosit  mijloace acustice si luminoase pentru alungare. Dupa patrulare ursul nu a mai fost vazut.,"Jandarmerie, Primarie, Fond cinegetic",RUCAR 22,,45.385597,25.169225,alungare,swapped,1500927,
,Argeș,RUCĂR,Alungat,Mascul,"Ursul a patruns in gospodaria aflata in intravilanul comunei Rucar. La sosirea echipei de interventie a fost gasit gardul, rupt, insa ursul nu a mai fost gasit. S-a efectuat patrulare, s-au folosit semnale acustice si luminoase.","Jandarmerie, Primarie, Fond cinegetic",RUCAR 22,,45.377971,25.166270,alungare,swapped,1500935,
,Argeș,RUCĂR,Alungat,Mascul,Ursul a patruns in gospodaria aflata in intravilanul localitatii Rucar. La sosirea echipei de interventie ursul nu a mai fost gasit. S-au folosit mijloace acustice si luminoase si s-au efectuat patrulari in zona.,"Jandarmerie, Primarie, Fond cinegetic",RUCAR 22,,45.383968,25.167179,alungare,swapped,1500952,
,Argeș,RUCĂR,Alungat,Mascul,"Ursul a revenit la o gospodarie aflata in intravilanul localitatii Rucar, a patruns in grajd rupand acoperisul si usile si a devorat resturile ovinei ucise cu o seara inainte. S-au folosit semnale acustice si luminoase acustice si luminoase","Jandarmerie, Primarie, Fond cinegetic",RUCAR 22,,45.380646,25.168896,alungare,swapped,1500952,
,Argeș,BUGHEA DE SUS,Alungat,Mascul,"Ursul a fost vazut in jurul unei gospodarii din intravilanul comunei Bughea de Sus. La sosirea jandarmilor, ursul nu a mai fost gasit. S-a efectuat patrulare si au fost folosite mijloace acustiec si luminoase.",Jandarmerie,RAUL TARGULUI 18,,45.2981231938,25.0328353778,alungare,incomplete,1500952,
,Argeș,RUCĂR,Alungat,Mascul,"Ursul a patruns in mai multe proprietati aflate in intravilanul comunei Rucar, distrugand garduri si pomi fructiferi. Echipa de  interventie a vazut ursul la limita proprietatii, pentru alungare fiind folosite semnale acustice si luminoase.","Jandarmerie, primarie, Fond cinegetic",RUCAR 22,,45.398870,25.146723,alungare,swapped,1500979,
2021-09-20,Argeș,RUCĂR,Împușcare,Mascul,"Ursul vazut la un adapost de animale. Reprezentantul primariei Rucar a hotarat impuscarea exemplarului de urs , datorita numeroaselor pagube produse in intravilanul localitatii Rucar si a numeroaselor alungari.n intravilanul","Jandarmerie, Primarie, Fond cinegetic",,,45.3892245313,25.1733186496,alungare,,,
,Argeș,RUCĂR,Împușcare,Mascul,"Ursul vazut la un adapost de animale. Reprezentantul primariei Rucar a hotarat impuscarea exemplarului de urs , datorita numeroaselor pagube produse in intravilanul localitatii Rucar si a numeroaselor alungari.n intravilanul","Jandarmerie, Primarie, Fond cinegetic",RUCAR 22,,45.403270,25.150685,impuscare,swapped,1501027,
,Argeș,RUCĂR,Alungat,Femela cu pui,"Ursoaica cu 2 pui a patruns in curtea unei case din intravilanul comunei Rucar. Echipa de interventie a vazut exemplarele de urs, s-au folosit mijloace acustice si luminoase pentru alungare.vazut","Jandarmerie, Primarie, Fond cinegetic",RUCAR 22,,45.442788,25.174700,alungare,swapped,1501046,
,Argeș,RUCĂR,Alungat,Mascul,In jurul locuintei din intarvilanul localitatii Rucar a fost semnalata prezenta unui exemplar de urs. Echipa de interventie a folosit mijloace acustice si luminoase pentru alungare.,"Jandarmerie, Primarie, Fond cinegetic",RUCAR 22,,45.398638,25.163759,alungare,swapped,1501115,
,Vrancea,DUMITRIŢA,Alungat,Mascul,"Un urs a atacat și omorât un porc. Evenimentul s-a petrecut în jurul dimineții, in intravilanul localității Budacu de Sus , porcul a fost luat din cotețul de lângă casă. Ursul a fost alungat. ISU Bistrița a transmis mesajul RO Alert .","Plt. Adj. ISJ BN,  Primar -  UAT Dumitrița,  Medic veterinar împuternicit- CMV Satu Nou",BUDAC 27,,47.0714286359,24.6257866917,alungare,,,
